8,0,3.048,71.3,2.66337,126.201
10,0,3.048,71.3,2.66337,125.201
12.5,0,3.048,71.3,2.66337,125.951
16,0,3.048,71.3,2.66337,127.591
20,0,3.048,71.3,2.66337,127.461
25,0,3.048,71.3,2.66337,125.571
31.5,0,3.048,71.3,2.66337,125.201
40,0,3.048,71.3,2.66337,123.061
50,0,3.048,71.3,2.66337,121.301
63,0,3.048,71.3,2.66337,119.541
80,0,3.048,71.3,2.66337,117.151
100,0,3.048,71.3,2.66337,115.391
125,0,3.048,71.3,2.66337,112.241
160,0,3.048,71.3,2.66337,108.721
5,0,3.048,55.5,2.83081,126.416
6.3,0,3.048,55.5,2.83081,127.696
8,0,3.048,55.5,2.83081,128.086
10,0,3.048,55.5,2.83081,126.966
12.5,0,3.048,55.5,2.83081,126.086
16,0,3.048,55.5,2.83081,126.986
20,0,3.048,55.5,2.83081,126.616
25,0,3.048,55.5,2.83081,124.106
31.5,0,3.048,55.5,2.83081,123.236
40,0,3.048,55.5,2.83081,121.106
50,0,3.048,55.5,2.83081,119.606
63,0,3.048,55.5,2.83081,117.976
80,0,3.048,55.5,2.83081,116.476
100,0,3.048,55.5,2.83081,113.076
125,0,3.048,55.5,2.83081,111.076
2,0,3.048,39.6,3.10138,118.129
2.5,0,3.048,39.6,3.10138,119.319
3.15,0,3.048,39.6,3.10138,122.779
4,0,3.048,39.6,3.10138,124.809
5,0,3.048,39.6,3.10138,126.959
6.3,0,3.048,39.6,3.10138,128.629
8,0,3.048,39.6,3.10138,129.099
10,0,3.048,39.6,3.10138,127.899
12.5,0,3.048,39.6,3.10138,125.499
16,0,3.048,39.6,3.10138,124.049
20,0,3.048,39.6,3.10138,123.689
25,0,3.048,39.6,3.10138,121.399
31.5,0,3.048,39.6,3.10138,120.319
40,0,3.048,39.6,3.10138,119.229
50,0,3.048,39.6,3.10138,117.789
63,0,3.048,39.6,3.10138,116.229
80,0,3.048,39.6,3.10138,114.779
100,0,3.048,39.6,3.10138,112.139
125,0,3.048,39.6,3.10138,109.619
2,0,3.048,31.7,3.31266,117.195
2.5,0,3.048,31.7,3.31266,118.595
3.15,0,3.048,31.7,3.31266,122.765
4,0,3.048,31.7,3.31266,125.045
5,0,3.048,31.7,3.31266,127.315
6.3,0,3.048,31.7,3.31266,129.095
8,0,3.048,31.7,3.31266,129.235
10,0,3.048,31.7,3.31266,127.365
12.5,0,3.048,31.7,3.31266,124.355
16,0,3.048,31.7,3.31266,122.365
20,0,3.048,31.7,3.31266,122.375
25,0,3.048,31.7,3.31266,120.755
31.5,0,3.048,31.7,3.31266,119.135
40,0,3.048,31.7,3.31266,118.145
50,0,3.048,31.7,3.31266,115.645
63,0,3.048,31.7,3.31266,113.775
80,0,3.048,31.7,3.31266,110.515
100,0,3.048,31.7,3.31266,108.265
8,1.5,3.048,71.3,3.36729,127.122
10,1.5,3.048,71.3,3.36729,125.992
12.5,1.5,3.048,71.3,3.36729,125.872
16,1.5,3.048,71.3,3.36729,126.632
20,1.5,3.048,71.3,3.36729,126.642
25,1.5,3.048,71.3,3.36729,124.512
31.5,1.5,3.048,71.3,3.36729,123.392
40,1.5,3.048,71.3,3.36729,121.762
50,1.5,3.048,71.3,3.36729,119.632
63,1.5,3.048,71.3,3.36729,118.122
80,1.5,3.048,71.3,3.36729,115.372
100,1.5,3.048,71.3,3.36729,113.492
125,1.5,3.048,71.3,3.36729,109.222
160,1.5,3.048,71.3,3.36729,106.582
3.15,1.5,3.048,39.6,3.92107,121.851
4,1.5,3.048,39.6,3.92107,124.001
5,1.5,3.048,39.6,3.92107,126.661
6.3,1.5,3.048,39.6,3.92107,128.311
8,1.5,3.048,39.6,3.92107,128.831
10,1.5,3.048,39.6,3.92107,127.581
12.5,1.5,3.048,39.6,3.92107,125.211
16,1.5,3.048,39.6,3.92107,122.211
20,1.5,3.048,39.6,3.92107,122.101
25,1.5,3.048,39.6,3.92107,120.981
31.5,1.5,3.048,39.6,3.92107,119.111
40,1.5,3.048,39.6,3.92107,117.741
50,1.5,3.048,39.6,3.92107,116.241
63,1.5,3.048,39.6,3.92107,114.751
80,1.5,3.048,39.6,3.92107,112.251
100,1.5,3.048,39.6,3.92107,108.991
125,1.5,3.048,39.6,3.92107,106.111
4,3,3.048,71.3,4.25727,127.564
5,3,3.048,71.3,4.25727,128.454
6.3,3,3.048,71.3,4.25727,129.354
8,3,3.048,71.3,4.25727,129.494
10,3,3.048,71.3,4.25727,129.004
12.5,3,3.048,71.3,4.25727,127.634
16,3,3.048,71.3,4.25727,126.514
20,3,3.048,71.3,4.25727,125.524
25,3,3.048,71.3,4.25727,124.024
31.5,3,3.048,71.3,4.25727,121.514
40,3,3.048,71.3,4.25727,120.264
50,3,3.048,71.3,4.25727,118.134
63,3,3.048,71.3,4.25727,116.134
