theta: 133.387990255 -0.197240368603 -0.471154018701 -3.74447891984 0.0472287863925 -0.0623864572991
exact: 127.461 exp: 121.231265386 err: 6.22973461397 err_pct: 4.88756138268
exact: 125.571 exp: 120.245063543 err: 5.32593645699 err_pct: 4.24137456657
exact: 123.061 exp: 117.286458014 err: 5.77454198603 err_pct: 4.69242244581
exact: 119.541 exp: 112.749929536 err: 6.7910704639 err_pct: 5.68095503961
exact: 112.241 exp: 100.521026683 err: 11.7199733173 err_pct: 10.4417933886
exact: 108.721 exp: 93.6176137816 err: 15.1033862184 err_pct: 13.8918757355
exact: 128.086 exp: 122.841488996 err: 5.24451100415 err_pct: 4.09452321421
exact: 126.086 exp: 121.953907337 err: 4.13209266286 err_pct: 3.27720180104
exact: 121.106 exp: 116.529797201 err: 4.57620279945 err_pct: 3.77867553998
exact: 118.129 exp: 123.2571136 err: -5.12811360008 err_pct: 4.34111318988
exact: 127.899 exp: 121.679190651 err: 6.21980934875 err_pct: 4.86306331461
exact: 129.235 exp: 121.687382965 err: 7.54761703474 err_pct: 5.84022674565
exact: 127.365 exp: 121.292902228 err: 6.07209777195 err_pct: 4.76747754245
exact: 122.365 exp: 120.109460016 err: 2.25553998356 err_pct: 1.84328850861
exact: 122.375 exp: 119.320498542 err: 3.05450145798 err_pct: 2.49601753461
exact: 120.755 exp: 118.334296699 err: 2.42070330099 err_pct: 2.00464022276
exact: 115.645 exp: 113.403287484 err: 2.24171251607 err_pct: 1.93844309401
exact: 108.265 exp: 103.541269054 err: 4.72373094621 err_pct: 4.36311914858
exact: 127.122 exp: 122.847503706 err: 4.27449629381 err_pct: 3.36251498074
exact: 125.992 exp: 122.453022969 err: 3.53897703102 err_pct: 2.80889027162
exact: 125.872 exp: 121.959922047 err: 3.91207795252 err_pct: 3.10798108596
exact: 126.642 exp: 120.480619283 err: 6.16138071705 err_pct: 4.86519536729
exact: 123.392 exp: 118.212355044 err: 5.17964495598 err_pct: 4.19771537537
exact: 118.122 exp: 111.999283433 err: 6.12271656697 err_pct: 5.18338376168
exact: 113.492 exp: 104.701389795 err: 8.79061020528 err_pct: 7.74557696162
exact: 124.001 exp: 122.10476428 err: 1.89623572036 err_pct: 1.52921002279
exact: 128.311 exp: 121.651111432 err: 6.65988856815 err_pct: 5.19042682868
exact: 126.159 exp: 122.111298893 err: 4.04770110702 err_pct: 3.20841248505
exact: 129.329 exp: 120.927856681 err: 8.40114331863 err_pct: 6.49594701779
exact: 122.439 exp: 117.969251152 err: 4.46974884768 err_pct: 3.65059241555
exact: 120.189 exp: 116.687188756 err: 3.5018112436 err_pct: 2.91358713659
exact: 113.799 exp: 107.121030879 err: 6.67796912084 err_pct: 5.86821423812
exact: 122.782 exp: 118.966495247 err: 3.81550475281 err_pct: 3.10754406412
exact: 110.652 exp: 106.343111657 err: 4.3088883434 err_pct: 3.89408988848
exact: 128.708 exp: 120.150241005 err: 8.55775899471 err_pct: 6.64897208776
exact: 119.598 exp: 116.797154739 err: 2.80084526096 err_pct: 2.3418830256
exact: 121.775 exp: 116.934000351 err: 4.84099964903 err_pct: 3.97536411334
exact: 119.535 exp: 115.257457218 err: 4.27754278215 err_pct: 3.57848561689
exact: 107.405 exp: 98.4920258866 err: 8.9129741134 err_pct: 8.29847224375
exact: 130.723 exp: 120.020925059 err: 10.702074941 err_pct: 8.18683394738
exact: 124.304 exp: 118.199783232 err: 6.10421676826 err_pct: 4.91071628287
exact: 118.024 exp: 112.282572174 err: 5.74142782635 err_pct: 4.86462738625
exact: 126.54 exp: 123.361427111 err: 3.17857288899 err_pct: 2.51191156076
exact: 123.41 exp: 119.416619739 err: 3.99338026105 err_pct: 3.23586440406
exact: 123.635 exp: 125.366374266 err: -1.73137426584 err_pct: 1.40039168992
exact: 130.725 exp: 124.577412791 err: 6.14758720857 err_pct: 4.7026867153
exact: 125.116 exp: 126.281442742 err: -1.16544274228 err_pct: 0.931489771318
exact: 127.356 exp: 125.827789894 err: 1.5282101055 err_pct: 1.19995140041
exact: 128.956 exp: 125.098000531 err: 3.85799946934 err_pct: 2.99171769389
exact: 126.116 exp: 120.857332606 err: 5.2586673943 err_pct: 4.16970677337
exact: 122.816 exp: 117.208385787 err: 5.60761421345 err_pct: 4.56586618474
exact: 126.842 exp: 125.068789589 err: 1.77321041107 err_pct: 1.39796787426
exact: 122.232 exp: 118.421789167 err: 3.81021083299 err_pct: 3.11719585132
exact: 127.417 exp: 124.297233785 err: 3.11976621498 err_pct: 2.44846936828
exact: 122.797 exp: 121.595040735 err: 1.20195926484 err_pct: 0.978818102103
exact: 118.827 exp: 115.677829677 err: 3.14917032293 err_pct: 2.65021444868
exact: 126.677 exp: 124.164445017 err: 2.51255498268 err_pct: 1.98343423248
exact: 121.407 exp: 120.219637645 err: 1.18736235474 err_pct: 0.978001560655
exact: 126.218 exp: 122.116178447 err: 4.10182155261 err_pct: 3.2497912759
exact: 124.338 exp: 121.129976604 err: 3.20802339563 err_pct: 2.5800828352
exact: 124.108 exp: 119.847914208 err: 4.26008579155 err_pct: 3.4325634057
exact: 112.848 exp: 110.281756331 err: 2.56624366879 err_pct: 2.27407102367
exact: 113.108 exp: 106.336948959 err: 6.77105104085 err_pct: 5.98635909118
exact: 131.264 exp: 122.831787573 err: 8.43221242683 err_pct: 6.42385758992
exact: 122.394 exp: 119.08422057 err: 3.30977943029 err_pct: 2.70420072086
exact: 129.579 exp: 123.27555333 err: 6.30344667041 err_pct: 4.86455881772
exact: 130.469 exp: 122.940244703 err: 7.52875529703 err_pct: 5.77053192485
exact: 121.659 exp: 120.57336028 err: 1.08563972027 err_pct: 0.892362850482
exact: 119.649 exp: 119.587158437 err: 0.0618415632833 err_pct: 0.0516858170844
exact: 120.419 exp: 118.305096041 err: 2.1139039592 err_pct: 1.75545716141
exact: 128.939 exp: 123.136856564 err: 5.80214343562 err_pct: 4.49991347507
exact: 133.38 exp: 122.908855271 err: 10.4711447294 err_pct: 7.85061083324
exact: 114.9 exp: 109.59513039 err: 5.30486961007 err_pct: 4.61694483035
exact: 127.011 exp: 123.324896065 err: 3.68610393474 err_pct: 2.90219267208
exact: 132.251 exp: 122.831795144 err: 9.41920485625 err_pct: 7.12221824882
exact: 115.801 exp: 115.928382243 err: -0.127382242648 err_pct: 0.110000986734
exact: 115.311 exp: 113.955978557 err: 1.35502144338 err_pct: 1.17510163244
exact: 139.918 exp: 123.611659087 err: 16.306340913 err_pct: 11.6542124051
exact: 139.438 exp: 123.315798534 err: 16.1222014659 err_pct: 11.5622724551
exact: 119.208 exp: 116.215145264 err: 2.99285473564 err_pct: 2.51061567649
exact: 115.818 exp: 111.678616786 err: 4.1393832135 err_pct: 3.57404135238
exact: 136.284 exp: 122.691683431 err: 13.5923165687 err_pct: 9.97352335471
exact: 135.924 exp: 122.524029118 err: 13.3999708821 err_pct: 9.85842888824
exact: 133.174 exp: 122.326788749 err: 10.8472112507 err_pct: 8.14514188254
exact: 131.889 exp: 121.995491914 err: 9.89350808626 err_pct: 7.50138987046
exact: 128.929 exp: 121.245978513 err: 7.68302148695 err_pct: 5.95911043051
exact: 122.539 exp: 120.516189149 err: 2.02281085078 err_pct: 1.65074861944
exact: 121.059 exp: 119.332746938 err: 1.7262530624 err_pct: 1.4259601206
exact: 117.809 exp: 118.543785463 err: -0.734785463192 err_pct: 0.623709108126
exact: 110.839 exp: 110.062449613 err: 0.776550386736 err_pct: 0.700611144756
exact: 130.239 exp: 121.436838869 err: 8.80216113125 err_pct: 6.75846799442
exact: 126.189 exp: 120.815531708 err: 5.37346829235 err_pct: 4.25826996993
exact: 113.229 exp: 115.845074419 err: -2.61607441885 err_pct: 2.31042791056
exact: 128.927 exp: 128.483568775 err: 0.443431224762 err_pct: 0.343939768056
exact: 129.667 exp: 127.793227485 err: 1.87377251487 err_pct: 1.44506506272
exact: 128.127 exp: 126.018064168 err: 2.1089358323 err_pct: 1.64597300514
exact: 120.573 exp: 129.208678735 err: -8.6356787346 err_pct: 7.16219944316
exact: 126.713 exp: 128.616957629 err: -1.90395762879 err_pct: 1.50257481773
exact: 127.763 exp: 125.263871363 err: 2.49912863746 err_pct: 1.95606602652
exact: 127.753 exp: 123.981808967 err: 3.77119103338 err_pct: 2.95193931522
exact: 131.013 exp: 126.275233513 err: 4.7377664873 err_pct: 3.61625677399
exact: 115.413 exp: 109.70704255 err: 5.70595744995 err_pct: 4.94394691235
exact: 121.617 exp: 128.061714706 err: -6.44471470564 err_pct: 5.29918901604
exact: 130.987 exp: 127.075512863 err: 3.91148713737 err_pct: 2.98616438072
exact: 126.534 exp: 121.734956256 err: 4.79904374389 err_pct: 3.79269109006
exact: 110.364 exp: 98.0661120237 err: 12.2978879763 err_pct: 11.1430248779
exact: 121.009 exp: 127.109428857 err: -6.10042885698 err_pct: 5.04130176845
exact: 125.809 exp: 126.853016378 err: -1.0440163778 err_pct: 0.829842362467
exact: 130.589 exp: 126.123227014 err: 4.46577298603 err_pct: 3.41971604502
exact: 128.139 exp: 124.150823328 err: 3.98817667206 err_pct: 3.11238317145
exact: 116.659 exp: 112.316401212 err: 4.34259878824 err_pct: 3.72247215238
exact: 126.291 exp: 127.268089464 err: -0.977089463887 err_pct: 0.773680993806
exact: 133.201 exp: 126.281887621 err: 6.91911237913 err_pct: 5.19448981549
exact: 129.367 exp: 126.501855449 err: 2.8651445514 err_pct: 2.21474143437
exact: 130.567 exp: 124.332211394 err: 6.23478860603 err_pct: 4.77516417321
exact: 118.757 exp: 117.626038861 err: 1.13096113853 err_pct: 0.952332189707
exact: 119.137 exp: 120.4917686 err: -1.35476860011 err_pct: 1.13715185049
exact: 117.037 exp: 116.842821781 err: 0.194178219042 err_pct: 0.165911821939
exact: 125.741 exp: 125.685193435 err: 0.0558065651486 err_pct: 0.0443821547058
exact: 127.781 exp: 125.517539122 err: 2.26346087846 err_pct: 1.77135949669
exact: 129.681 exp: 125.320298753 err: 4.36070124706 err_pct: 3.36263696846
exact: 122.771 exp: 122.361693224 err: 0.409306776109 err_pct: 0.333390439199
exact: 132.043 exp: 126.201135583 err: 5.84186441656 err_pct: 4.42421363992
exact: 118.343 exp: 117.325318996 err: 1.0176810037 err_pct: 0.859941867027
exact: 113.333 exp: 111.408107938 err: 1.92489206179 err_pct: 1.69843916757
exact: 128.338 exp: 123.619749628 err: 4.71825037176 err_pct: 3.67642504306
exact: 113.288 exp: 115.730134884 err: -2.44213488412 err_pct: 2.15568717262
exact: 111.588 exp: 109.812923826 err: 1.77507617397 err_pct: 1.59074109579
exact: 135.329 exp: 124.68722628 err: 10.6417737205 err_pct: 7.86363138755
exact: 135.079 exp: 124.391365727 err: 10.6876342734 err_pct: 7.91213606361
exact: 129.889 exp: 123.937712879 err: 5.95128712115 err_pct: 4.58182534406
exact: 126.349 exp: 123.207923515 err: 3.14107648498 err_pct: 2.48603193138
exact: 121.789 exp: 122.024481303 err: -0.235481303402 err_pct: 0.193351865441
exact: 119.639 exp: 120.249317986 err: -0.610317985975 err_pct: 0.510132971669
exact: 115.079 exp: 117.290712457 err: -2.21171245693 err_pct: 1.92190795621
exact: 112.945 exp: 116.448191658 err: -3.5031916578 err_pct: 3.10167927557
